subject,run,n_tr,fsnr_PDA_db,signal_PDA,noise_PDA,delta_PDA,meanfb_PDA,fsnr_CEN_db,signal_CEN,noise_CEN,delta_CEN,meanfb_CEN,fsnr_DMN_db,signal_DMN,noise_DMN,delta_DMN,meanfb_DMN,fsnr_CENDMN_db,glm_PDA_db,beta_PDA,r2_PDA,glm_CEN_db,beta_CEN,r2_CEN,glm_DMN_db,beta_DMN,r2_DMN,glm_CENDMN_db
dmnelf001,1,125,-8.665208252913615,0.013026476275845425,0.09579608885710086,-0.2810366212302133,-0.05019734372433863,-22.15701963759554,0.000757347443432114,0.12445063802771653,-0.06776368592914782,0.012221319591136355,-12.47021443281756,0.007501923295434366,0.13249334437108723,0.2132729365259997,0.0624186638326041,-22.428988988971795,-11.03272299937972,-0.2157354801503785,0.07307554146198612,-25.828821242481897,0.04518952632531048,0.0026060611405929203,-10.544305624832344,0.2609250086475663,0.08106857531334549,-25.773863973509442
dmnelf001,2,125,-16.974134826512373,0.0012427272420800404,0.06191406251549088,-0.08680352232958141,-0.028013084005368383,-37.566137821905905,1.2091043169715564e-05,0.06903630741407352,0.00856212028939473,0.006308176309654587,-16.909999301873025,0.0014999783928938107,0.07363510887620864,0.09536564284273864,0.03432126038977386,-37.84621161528725,-13.890616419485042,-0.11823396342953772,0.03922474832437966,-35.2874858921194,0.010706329416057517,0.0002958849601912474,-14.192230451098935,0.128940293365284,0.036689618465851635,-35.80719149525609
dmnelf001,3,125,-16.247982166904908,0.0018285487067278507,0.07707344116521542,-0.1052937772477928,-0.033528369625932294,-11.69245419104044,0.010294818160322343,0.1520071789237414,0.24983816362525288,0.06813067581112447,-9.96760226505263,0.020800826913366356,0.20646233118817983,0.3551319443767792,0.1016590462213284,-13.022221467163801,-13.791867528274606,-0.1366672769417644,0.040090682917245976,-10.023124798420257,0.2928107997730844,0.0904699920946216,-7.978006590505019,0.4294780796700874,0.137406020956116,-11.305084825771011
dmnelf001,4,125,-16.640530343629468,0.0011953846335566128,0.055151928510969644,-0.08513404594048074,-0.02541277543886712,-12.71783619117473,0.006352192099004601,0.11877013288968065,0.19625071636548166,0.04895059134026891,-10.1263740391236,0.013058769888163952,0.13444345759179321,0.28138476103544235,0.07436336614191533,-13.256160497669933,-14.278130066010064,-0.1060449868606069,0.035996925753561934,-11.96481174499753,0.2027351968952609,0.059804905233119654,-8.892925103625833,0.3087801826129705,0.11428785678969249,-12.547330434219209
dmnelf004,1,125,-5.26302495089174,0.09352603534879864,0.3142208649044978,0.7530359351242844,0.1744262694920364,-4.454655650026017,0.05852577977062497,0.16323480837903195,0.5956937498932606,0.12438253771121564,-14.346493174188307,0.004083113751259203,0.11108125978752244,-0.15734218562119887,-0.050043731574949464,-2.7829358775080437,-4.334691015646347,0.7820673319163708,0.2693152480587345,-4.679077258988641,0.552036739123899,0.2539988590491286,-10.706693219241858,-0.23003059475147591,0.07832634345647661,-3.103045628762711
dmnelf004,2,125,-5.226816612219272,0.07877543087906361,0.26246563492313896,0.6911062694301731,0.14407913527990643,-16.290204572448342,0.004273235636312042,0.18187679759848266,0.160963667901723,0.03996557650205336,-6.343907701460234,0.0463539268533742,0.19974563670939244,-0.5301426011490586,-0.10411355966506036,-16.697204597573588,-5.37184887690365,0.6454109426024418,0.22497362035219026,-16.672560048325828,0.1459973683894246,0.021061979767302286,-6.463015141367915,-0.49941357452038865,0.1841974260376448,-17.14532144189156
dmnelf004,3,125,-8.783959977144344,0.031203006199394197,0.23582640747040823,0.43495833522002947,0.09891001290004504,-11.839477068410815,0.007471151779157308,0.11411303762270186,0.212835083791594,0.051132412889580196,-10.758541519457172,0.00813746528660106,0.09690435626448693,-0.2221232470850411,-0.04777760073346527,-11.129557415318903,-7.627846813753264,0.4642869284785785,0.14724472150799142,-10.047901537475939,0.24470375597148544,0.09000164616869484,-10.35520370971938,-0.21958316853759208,0.0843720622626724,-9.414371952777453
dmnelf004,4,125,-5.70625151622523,0.029769209262141064,0.11076242374532547,0.4248475210682342,0.08652155685581658,-9.96743833777097,0.010557247042381271,0.10478389021364787,0.25300248171055784,0.0646524282809543,-14.514146006963598,0.004870517787010304,0.13771769156466573,-0.17184504174333262,-0.021869128092045064,-11.154390501337879,-6.005906221196363,0.39693247314640523,0.2005418851204386,-9.868544697493453,0.24519656995689998,0.09344180487255092,-15.429366497581523,-0.15173590544601565,0.027848219048648162,-11.260845897547414
dmnelf005,1,125,-9.59343003577483,0.0032611691937578543,0.029697256819920137,0.14061644193765363,0.028143236982195,-11.020178308329703,0.01193910161489313,0.1510043573452367,0.2690514044051892,0.04999150178934399,-15.723485074226861,0.002720618524506055,0.10162865038344002,0.12843496286224476,0.021848265052846583,-9.300445096995727,-10.07868041423155,0.12655004157551336,0.0894228873741062,-11.413654982954494,0.24458402083860004,0.0673522557855691,-16.001422376030995,0.11803397955670061,0.024495540213365825,-9.673001765178267
dmnelf005,2,125,-7.726401525226569,0.019215898201702577,0.11384156091753667,0.341334183588624,0.07142194844782353,-12.77488059962307,0.008786048067916729,0.16644917038726326,0.23080553872584317,0.05646283844559404,-17.847689446907612,0.002014887412204638,0.12274949903497584,-0.11052864117645904,-0.014959110152956687,-11.452261534231878,-7.857416185732365,0.3181400393109029,0.14073037398436974,-12.08974071382103,0.23648836827201505,0.058207778883761684,-20.06874505151062,-0.0816516677891141,0.009747015458742746,-10.831850555042372
dmnelf005,3,125,-31.41488513410867,9.612318294914367e-05,0.1331424844534627,0.024141458853294974,0.02123178659301055,-23.265935250808987,0.0010170811443199691,0.21574916723961352,0.07852848890543866,0.016055296690472842,-23.670100333995027,0.0004878561707885105,0.11357999260162513,0.05438702964321956,-0.00517649001343862,-20.479462330622738,-19.900456236753982,0.08771508306019096,0.010128224461525398,-22.40802442049472,0.08195876564435586,0.005710974275697704,-42.9429848017726,-0.005756317438760585,5.0778453093239144e-05,-19.87397133359993
dmnelf005,4,125,-14.183732735549341,0.0034908447349058665,0.09147529239074025,0.14548382320294254,0.04992647410223359,-14.491682273607953,0.0035804970958751422,0.10071903432093299,0.14734014807219958,0.037866497169689914,-50.776639621009494,5.683399280751682e-07,0.06796293567934708,0.001856322903431169,-0.01205997697053183,-12.783288042739988,-10.504953653220856,0.21579576495419459,0.08174616464732222,-12.831661999671136,0.1682588994461232,0.049519582411503164,-22.343070443090735,-0.04753686637575911,0.0057965318893674535,-11.364120558257264
dmnelf006,1,125,-12.431140454834557,0.005048335535582354,0.08836133278932146,0.1749538666558893,0.05274403130537585,-19.92053196805563,0.0025721109095512913,0.25254739214598276,0.12488040105390705,0.02224893112617888,-29.008257842219642,0.00041353892672380357,0.3291108350790113,-0.05007346411370427,-0.030495099575675436,-21.07052489038441,-9.783350824184867,0.2270080905371062,0.09511684198187956,-21.140710262915285,0.10266401568616894,0.007631361115522691,-20.70244426703983,-0.12434407327019208,0.008434839677088754,-22.366581112916506
dmnelf006,2,125,-19.753135080686796,0.0010533982278321393,0.09951902017192735,-0.07991820682036249,-0.014198126683109685,-16.24346119894078,0.0031870551234335002,0.13419480234922027,-0.13900941850323426,-0.03420760662932145,-25.55904252080545,0.0005758997438085548,0.20713387858070736,-0.059091209822187296,-0.02000947849530923,-18.128615622992438,-18.48287823289691,-0.08718726472895318,0.013982880053678424,-15.011622957831444,-0.15099446182489262,0.030574007254250565,-24.414873405783844,-0.06380719528248868,0.0036053219994950643,-16.93304613787744
dmnelf006,3,125,-10.374175897000327,0.0214894822194448,0.2342305516098168,0.3609627733889379,0.09844655496509451,-34.928831349114844,4.2568945298736535e-05,0.1324268427655742,-0.016065560580280268,0.014418112932655372,-8.398892618203211,0.023444939337995952,0.16215799847312157,-0.3770283398350799,-0.08402844130453703,-35.808454850956196,-8.815147425555828,0.4109805183060856,0.11611327362178993,-28.026128957001045,0.03459594821877708,0.0015729085059838527,-7.899592892519925,-0.3763845741694107,0.1395600944447367,-28.631724442264854
dmnelf006,4,125,-15.804085362393332,0.0036143015940661087,0.13754123687213432,0.14803405433893202,0.0416968047618866,-17.820682246077787,0.0018978377290983716,0.1149019239735304,0.10727017204289471,0.031789096307597665,-29.482902261621216,0.0002740641496944032,0.2433001940968296,-0.04076388368254381,-0.009907708203995993,-21.07883379217915,-12.78168771075281,0.19838148279538378,0.050064003251474545,-16.394107563159647,0.12010916318815214,0.0224253472167021,-23.3200322971731,-0.07827232115618424,0.004634250047817339,-19.600673732190547
