cohort,subject,session,run,n_tr,within_dmn_difumo,within_cen_difumo,dmn_cen_difumo,mpfc_pcc,acc_pcc,acc_mpfc,within_dmn_pers,within_cen_pers,dmn_cen_pers
dmnelf,dmnelf013,ses-dmnelf,1,348,0.6164113082260625,0.5874893735695671,0.37742801418270894,0.5100251783529391,0.566643812428302,0.6966981213875443,0.051287032515534126,0.038260868259481745,0.9005144712568017
dmnelf,dmnelf013,ses-dmnelf,2,349,0.4162839378175213,0.6838863202333385,0.4592758870834227,0.16073091665824774,0.14446301469772338,0.374756347572935,0.03985901069626386,0.0422894157535776,0.7186744617795121
