cohort,subject,session,run,n_tr,within_dmn_difumo,within_cen_difumo,dmn_cen_difumo,mpfc_pcc,acc_pcc,acc_mpfc
dmnelf,dmnelf003,ses-dmnelf,1,349,0.4587447050714345,0.31381232326506325,0.13210532464075836,0.395337360998542,0.41289280096907316,0.5084570119671362
dmnelf,dmnelf003,ses-dmnelf,2,349,0.44929522159561514,0.4643861745605168,0.09530125016007665,0.49508564911767433,0.38162199532685626,0.6302646362204152
