cohort,subject,session,run,z_pcc,z_ldlpfc,z_rdlpfc
dmnelf,dmnelf001,ses-dmnelf,1,0.8557290951457247,-0.3722638681054946,0.137142892405494
dmnelf,dmnelf001,ses-dmnelf,2,0.9020503138343847,-0.13690503716688512,0.12497593399371516
dmnelf,dmnelf002,ses-dmnelf,1,0.5364887148067831,0.14136151227065946,0.005022965801202063
dmnelf,dmnelf002,ses-dmnelf,2,0.49114359190237566,0.20587520995541989,0.5618250044118159
dmnelf,dmnelf003,ses-dmnelf,1,0.590765551798037,-0.15461482799257312,-0.04004281604614178
dmnelf,dmnelf003,ses-dmnelf,2,0.445090410108255,-0.060858630479830984,0.19704939794966853
dmnelf,dmnelf004,ses-dmnelf,1,0.2722673302192399,-0.4096096736102792,-0.18818972087091146
dmnelf,dmnelf004,ses-dmnelf,2,0.305661481819424,-0.09189191938080685,0.00010740704444374543
dmnelf,dmnelf005,ses-dmnelf,1,0.3946202958629555,-0.4297722065700145,0.008316992461620513
dmnelf,dmnelf005,ses-dmnelf,2,0.3514476350800231,-0.49595205886992644,-0.05556920602170517
dmnelf,dmnelf006,ses-dmnelf,1,-0.1685334398661491,0.25172975068749803,0.39961434737257207
dmnelf,dmnelf006,ses-dmnelf,2,0.14252995882121272,0.25813915865650017,0.30411119490755834
dmnelf,dmnelf007,ses-dmnelf,1,0.45844681974401374,0.008265512408740265,-0.12595665106654977
dmnelf,dmnelf007,ses-dmnelf,2,0.25966087594883713,0.1832317134624006,0.0936680407052635
dmnelf,dmnelf008,ses-dmnelf,1,0.3664705377360681,0.29299078489787894,0.09957106511423275
dmnelf,dmnelf008,ses-dmnelf,2,0.2861002603098392,0.041011109508230434,-0.021662983821318146
dmnelf,dmnelf009,ses-dmnelf,1,0.09513649098870545,-0.47233923729348176,-0.29021888184086775
dmnelf,dmnelf009,ses-dmnelf,2,0.37638541120519986,-0.3056979270676769,-0.25112125405611496
dmnelf,dmnelf010,ses-dmnelf,1,0.4447492768733554,-0.011826509002153823,0.2995504993121813
dmnelf,dmnelf010,ses-dmnelf,2,0.08195854320800897,-0.25511016857306795,0.020231339752029186
dmnelf,dmnelf011,ses-dmnelf,1,0.1768482054351745,0.04566104906854454,-0.09813182024502594
dmnelf,dmnelf011,ses-dmnelf,2,0.491966277222156,-0.30703628641214215,-0.15367830317962936
dmnelf,dmnelf012,ses-dmnelf,1,0.15902248022323603,0.03307700865261073,-0.09519861618711423
dmnelf,dmnelf012,ses-dmnelf,2,0.24591855385325928,0.1770732657367025,0.21463502740195275
dmnelf,dmnelf013,ses-dmnelf,1,0.8013078134552314,0.23145897685961225,0.24869249967957577
dmnelf,dmnelf013,ses-dmnelf,2,0.49873215932048576,0.2706335373548139,0.1211864803537696
dmnelf,dmnelf014,ses-dmnelf,1,0.5203005826996147,0.12765371816993568,-0.20241124890147905
dmnelf,dmnelf014,ses-dmnelf,2,0.564819869504855,0.34516218610634275,0.10223895267332056
dmnelf,dmnelf015,ses-dmnelf,1,0.3275574339229771,-0.40428519747756086,-0.373927812928586
dmnelf,dmnelf015,ses-dmnelf,2,-0.02745157762850528,-0.39348049056659024,-0.21113386546359575
dmnelf,dmnelf016,ses-dmnelf,1,0.6016718906228098,0.12567844845750947,0.27769288782587176
dmnelf,dmnelf016,ses-dmnelf,2,0.6389674973053551,0.23024070687895826,0.3261796287886941
dmnelf,dmnelf1001,ses-dmnelf,1,0.15098739553326324,0.04156595696015989,-0.10634813164738
dmnelf,dmnelf1001,ses-dmnelf,2,0.21665155676040637,-0.2139532767544562,-0.08839954716565059
dmnelf,dmnelf1002,ses-dmnelf,1,0.5114026072026251,-0.2916439839418002,-0.2336621773794596
dmnelf,dmnelf1003,ses-dmnelf,1,0.14005515240615704,-0.04369869067886115,0.04648940533133951
dmnelf,dmnelf1003,ses-dmnelf,2,0.2698085685188061,-0.3235672055053522,-0.18634751107570197
dmnelf,dmnelf999,ses-dmnelf,1,0.37951326294216103,-0.11749666481787137,-0.11457302591994638
dmnelf,dmnelf999,ses-dmnelf,2,0.6718200258890258,0.1137825133473172,0.15807908885970018
